Date,Last Price,Volume,SMAVG (15)
5/5/2021,4167.59,574161152,582224192
5/4/2021,4164.66,647398656,580421760
5/3/2021,4192.66,574622080,572182080
4/30/2021,4181.17,738271680,568977280
4/29/2021,4211.47,603848000,553779840
4/28/2021,4183.18,555786112,549689920
4/27/2021,4186.72,518564000,545238272
4/26/2021,4187.62,535480160,548790592
4/23/2021,4180.17,530028544,552702592
4/22/2021,4134.98,586661632,553986304
4/21/2021,4173.42,552948864,567593600
4/20/2021,4134.94,542835776,567349248
4/19/2021,4163.26,545994752,573598016
4/16/2021,4185.47,670059968,585180736
4/15/2021,4170.42,556701824,582669504
4/14/2021,4124.66,547124416,586363904
4/13/2021,4141.59,523803680,594333888
4/12/2021,4127.99,526549664,604567936
4/9/2021,4128.8,510310240,724384896
4/8/2021,4097.17,542499584,737063872
4/7/2021,4079.95,489011104,744416768
4/6/2021,4073.94,571848576,752257472
4/5/2021,4077.91,594159808,754130560
4/1/2021,4019.87,549284544,753894144
3/31/2021,3972.89,790771520,759531840
3/30/2021,3958.55,549283712,751501760
3/29/2021,3971.09,636567104,762207360
3/26/2021,3974.54,719734912,770213760
3/25/2021,3909.52,632391616,777503040
3/24/2021,3889.14,612118400,792091200
3/23/2021,3910.52,666674304,796924928
3/22/2021,3940.59,677313664,794686144
3/19/2021,3913.1,2323804160,791784768
3/18/2021,3915.46,700494720,700985664
3/17/2021,3974.12,652793728,701810240
3/16/2021,3962.71,606621312,704796288
3/15/2021,3968.94,599944960,714722432
3/12/2021,3943.34,590613504,720862848
3/11/2021,3939.34,633849728,725838272
3/10/2021,3898.81,670320896,718274816
3/9/2021,3875.44,709867520,709785216
3/8/2021,3821.35,756663296,702039680
3/5/2021,3841.94,829073408,682185600
3/4/2021,3768.47,851214144,665993152
3/3/2021,3819.72,684624448,646540032
3/2/2021,3870.29,633092928,633261504
3/1/2021,3901.82,633792512,629276800
2/26/2021,3811.15,961817664,622850112
2/25/2021,3829.34,712863872,599489792
2/24/2021,3925.43,697584256,593115392
2/23/2021,3881.37,755513152,589760064
2/22/2021,3876.5,692050944,581403968
2/19/2021,3906.71,665244928,603461696
2/18/2021,3913.97,520398464,615563392
2/17/2021,3931.33,542976256,645383936
2/16/2021,3932.59,593684480,648556672
2/12/2021,3934.83,458852288,653993152
2/11/2021,3916.38,586186496,664833088
2/10/2021,3909.88,559418176,667139072
2/9/2021,3911.23,485445856,672810880
2/8/2021,3915.59,573323008,685985088
2/5/2021,3886.83,537391424,704574656
2/4/2021,3871.74,611413696,713960320
2/3/2021,3830.17,617247552,713517312
2/2/2021,3826.31,647254400,716271680
2/1/2021,3773.86,630171712,714028928
1/29/2021,3714.24,1022917120,715336192
1/28/2021,3787.38,846769920,694213824
1/27/2021,3750.77,967706368,692936768
1/26/2021,3849.62,590568064,668676224
1/25/2021,3855.36,675231360,680081600
1/22/2021,3841.47,621451008,668371584
1/21/2021,3853.07,620776704,654396928
1/20/2021,3851.85,644495104,641603776
1/19/2021,3798.91,683059328,627251776
1/15/2021,3768.25,852165952,595484096
1/14/2021,3795.54,678176064,571336512
1/13/2021,3809.84,604769152,564973824
1/12/2021,3801.19,658562752,574486912
1/11/2021,3799.61,613612864,672885248
1/8/2021,3824.68,649780672,672089856
1/7/2021,3803.79,706082176,670537024
1/6/2021,3748.14,827613888,665593984
1/5/2021,3726.86,603798400,657238528
1/4/2021,3700.65,761648768,654911680
12/31/2020,3756.07,499581056,645724800
12/30/2020,3732.04,411831424,658972928
12/29/2020,3727.04,428879456,668052544
12/28/2020,3735.36,429214688,678405952
12/24/2020,3703.06,206543744,689695936
12/23/2020,3690.01,489952800,716918976
12/22/2020,3687.26,582735360,724365888
12/21/2020,3694.92,747465152,728179968
12/18/2020,3709.41,2134538112,767374784
12/17/2020,3722.48,601682496,644687616
12/16/2020,3701.17,626487744,642268032
12/15/2020,3694.62,631936192,650930880
